Date,Open,High,Low,Close,Adj Close,Volume
2014-12-08,31700.000000,31700.000000,31050.000000,31150.000000,28040.568359,1240100
2014-12-09,31000.000000,31175.000000,30975.000000,31025.000000,27928.044922,1608000
2014-12-10,31025.000000,31125.000000,31000.000000,31100.000000,27995.562500,872800
2014-12-11,31075.000000,31075.000000,30900.000000,30900.000000,27815.523438,2589800
2014-12-12,30900.000000,31050.000000,30900.000000,30975.000000,27883.041016,1010400
2014-12-15,30550.000000,31250.000000,30525.000000,31225.000000,28108.082031,1179500
2014-12-16,31025.000000,31275.000000,30600.000000,31200.000000,28085.582031,1830800
2014-12-17,31275.000000,31500.000000,30700.000000,30700.000000,27635.488281,1527100
2014-12-18,31100.000000,31700.000000,30925.000000,31700.000000,28535.667969,1223000
2014-12-19,31750.000000,32000.000000,31525.000000,32000.000000,28805.722656,1977500
2014-12-22,32000.000000,32000.000000,31500.000000,31500.000000,28355.630859,708700
2014-12-23,31725.000000,31800.000000,31500.000000,31500.000000,28355.630859,669900
2014-12-24,31550.000000,31925.000000,31500.000000,31525.000000,28378.138672,351600
2014-12-29,31900.000000,31950.000000,31650.000000,31950.000000,28760.714844,593600
2014-12-30,31725.000000,32300.000000,31700.000000,32300.000000,29075.775391,1810900
2015-01-02,32300.000000,32625.000000,32275.000000,32525.000000,29278.318359,766900
2015-01-05,32475.000000,32525.000000,32275.000000,32475.000000,29233.304688,1761400
2015-01-06,32300.000000,32500.000000,32150.000000,32475.000000,29233.304688,1400700
2015-01-07,32500.000000,33700.000000,32500.000000,33125.000000,29818.423828,2901400
2015-01-08,33100.000000,33450.000000,33100.000000,33375.000000,30043.468750,2654900
2015-01-09,33100.000000,33450.000000,32975.000000,33225.000000,29908.441406,2078000
2015-01-12,32875.000000,32900.000000,32100.000000,32100.000000,28895.736328,1226100
2015-01-13,32600.000000,33100.000000,32475.000000,33000.000000,29705.902344,1194100
2015-01-14,33225.000000,33250.000000,32650.000000,32650.000000,29390.835938,978200
2015-01-15,32725.000000,33000.000000,32650.000000,32725.000000,29458.351563,326000
2015-01-16,32975.000000,34000.000000,32650.000000,33500.000000,30155.988281,971400
2015-01-19,33500.000000,34000.000000,33400.000000,34000.000000,30606.078125,1055100
